"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","CENTRAL","50","TAMA","171","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","245","2"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","CENTRAL","50","WEBSTER","187","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","226","1.5"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","BENTON","011","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","258","1.5"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","CEDAR","031","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","263","3"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","CLINTON","045","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","227","2.9"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","IOWA","095","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","234","2.3"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","JACKSON","097","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","213","2.2"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","JOHNSON","103","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","234","3.1"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","JONES","105","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","235","2.2"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","LINN","113","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","228","2.4"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","MUSCATINE","139","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","241","2.5"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","SCOTT","163","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","262","3"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","NORTH CENTRAL","20","BUTLER","023","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","264","2.3"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","NORTH CENTRAL","20","CERRO GORDO","033","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","227","2.2"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","NORTH CENTRAL","20","FLOYD","067","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","234","1.6"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","NORTH CENTRAL","20","FRANKLIN","069","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","246","2.1"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","NORTH CENTRAL","20","HANCOCK","081","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","243","2.3"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","NORTH CENTRAL","20","HUMBOLDT","091","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","231","1.7"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","NORTH CENTRAL","20","KOSSUTH","109","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","237","2.3"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","NORTH CENTRAL","20","MITCHELL","131","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","231","1.6"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","NORTH CENTRAL","20","WINNEBAGO","189","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","219","1.9"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","NORTH CENTRAL","20","WORTH","195","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","219","3.2"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","NORTH CENTRAL","20","WRIGHT","197","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","248","1.8"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","NORTHEAST","30","ALLAMAKEE","005","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","220","1.8"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","NORTHEAST","30","BLACK HAWK","013","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","253","2.5"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","NORTHEAST","30","BREMER","017","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","235","2.2"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","NORTHEAST","30","BUCHANAN","019","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","247","1.9"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","NORTHEAST","30","CHICKASAW","037","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","230","2"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","NORTHEAST","30","CLAYTON","043","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","237","3.1"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","NORTHEAST","30","DELAWARE","055","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","258","2.1"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","NORTHEAST","30","DUBUQUE","061","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","244","2.8"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","NORTHEAST","30","FAYETTE","065","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","229","2.1"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","NORTHEAST","30","HOWARD","089","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","228","2.3"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","NORTHEAST","30","WINNESHIEK","191","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","217","2.9"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","NORTHWEST","10","BUENA VISTA","021","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","231","1.6"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","NORTHWEST","10","CHEROKEE","035","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","250","2.5"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","NORTHWEST","10","CLAY","041","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","235","2.3"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","NORTHWEST","10","DICKINSON","059","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","206","3.5"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","NORTHWEST","10","EMMET","063","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","214","1.3"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","NORTHWEST","10","LYON","119","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","256","2.4"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","NORTHWEST","10","O BRIEN","141","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","260","2.5"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","NORTHWEST","10","OSCEOLA","143","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","232","2.9"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","NORTHWEST","10","PALO ALTO","147","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","221","2.5"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","NORTHWEST","10","PLYMOUTH","149","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","257","3.3"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","NORTHWEST","10","POCAHONTAS","151","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","235","1.3"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","NORTHWEST","10","SIOUX","167","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","255","2.1"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","SOUTH CENTRAL","80","APPANOOSE","007","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","164","4.7"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","SOUTH CENTRAL","80","CLARKE","039","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","155","2.7"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","SOUTH CENTRAL","80","DECATUR","053","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","160","1.6"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","SOUTH CENTRAL","80","LUCAS","117","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","148","5.4"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","SOUTH CENTRAL","80","MADISON","121","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","191","2.6"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","SOUTH CENTRAL","80","MARION","125","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","169","3.1"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","SOUTH CENTRAL","80","MONROE","135","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","169","3.3"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","SOUTH CENTRAL","80","RINGGOLD","159","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","185","5"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","SOUTH CENTRAL","80","UNION","175","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","199","3.2"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","SOUTH CENTRAL","80","WARREN","181","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","183","2.9"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","SOUTH CENTRAL","80","WAYNE","185","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","172","4.3"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","SOUTHEAST","90","DAVIS","051","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","149","3.5"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","SOUTHEAST","90","DES MOINES","057","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","210","2.8"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","SOUTHEAST","90","HENRY","087","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","218","1.9"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","SOUTHEAST","90","JEFFERSON","101","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","215","2.1"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","SOUTHEAST","90","KEOKUK","107","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","218","1.7"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","SOUTHEAST","90","LEE","111","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","190","3.3"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","SOUTHEAST","90","LOUISA","115","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","206","1.1"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","SOUTHEAST","90","MAHASKA","123","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","208","2.1"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","SOUTHEAST","90","VAN BUREN","177","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","163","3.4"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","SOUTHEAST","90","WAPELLO","179","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","222","2.9"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","SOUTHEAST","90","WASHINGTON","183","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","214","2.6"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","SOUTHWEST","70","ADAIR","001","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","196","2"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","SOUTHWEST","70","ADAMS","003","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","208","2.3"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","SOUTHWEST","70","CASS","029","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","214","1.8"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","SOUTHWEST","70","FREMONT","071","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","203","2.7"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","SOUTHWEST","70","MILLS","129","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","230","1.9"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","SOUTHWEST","70","MONTGOMERY","137","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","209","2.7"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","SOUTHWEST","70","PAGE","145","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","206","2.4"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","SOUTHWEST","70","POTTAWATTAMIE","155","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","233","1.3"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","SOUTHWEST","70","TAYLOR","173","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","187","3.1"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","WEST CENTRAL","40","AUDUBON","009","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","240","2.4"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","WEST CENTRAL","40","CALHOUN","025","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","235","1.5"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","WEST CENTRAL","40","CARROLL","027","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","247","2.2"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","WEST CENTRAL","40","CRAWFORD","047","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","250","2"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","WEST CENTRAL","40","GREENE","073","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","232","2"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","WEST CENTRAL","40","GUTHRIE","077","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","216","1.7"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","WEST CENTRAL","40","HARRISON","085","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","224","2.1"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","WEST CENTRAL","40","IDA","093","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","261","2.8"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","WEST CENTRAL","40","MONONA","133","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","225","3.1"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","WEST CENTRAL","40","SAC","161","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","251","2.3"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","WEST CENTRAL","40","SHELBY","165","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","225","1.9"
"SURVEY","2021","YEAR","","COUNTY","IOWA","19","WEST CENTRAL","40","WOODBURY","193","","","00000000","","RENT","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","248","2.4"
